id,Quantidade
178,20
634,121
483,220
476,190
132,67
410,397
055,92
490,578
600,591
089,473
387,456
331,223
450,420
558,573
413,''
698,366
540,516
309,319
268,308
523,111
017,48
035,525
011,445
226,164
638,293
271,152
126,399
180,185
163,576
361,63
280,491
060,'NaN'
587,336
653,159
660,342
382,262
217,440
378,365
429,
025,183
367,297
373,44
624,109
157,350
020,255
117,457
502,493
351,489
135,456
647,64
440,530
259,158
422,123
041,468
537,234
230,24
683,218
146,151
566,564
388,504
498,61
663,426
121,167
161,509
263,292
118,210
140,153
260,'397'
236,41
090,67
274,561
676,180
390,257
608,260
589,317
256,345
091,'NaN'
285,32
248,513
441,338
623,416
603,352
673,393
182,425
520,136
412,'395'
031,115
514,534
023,342
415,152
016,430
570,466
528,51
414,26
690,94
202,121
550,128
211,520
526,524
492,NaN
466,279
636,161
527,179
586,194
080,599
398,315
175,435
308,400
512,294
576,148
495,128
379,109
641,269
689,571
171,235
477,187
206,392
687,NaN
568,362
399,71
255,591
262,221
633,573
616,372
320,479
144,99
534,157
342,296
052,330
139,316
323,106
573,207
560,308
246,459
069,468
319,537
584,342
311,162
316,579
497,517
297,' '
068,135
330,118
515,341
289,329
210,570
474,320
301,335
215,NaN
606,521
590,225
